"","post_id","post_author","post_category","post_title","post_date_time","post_ip","post_country","post_content","post_board"
"11","M.1573139193.A.266","AndrewShi","問題","篩選符合條件的資料",2019-11-07 23:06:31,"140.122.212.226","臺灣","[問題類型]:
程式諮詢(我想用R 做某件事情，但是我不知道要怎麼用R 寫出來)

[軟體熟悉度]:
入門(寫過其他程式，只是對語法不熟悉)

[問題敘述]:
    各位大大好，小弟我有一組颱風侵台的資訊資料，如果我只想要抽出一天當中影響時
間有持續達到18小時以上(也就是當天日期""時""包含0.6.12.18)的那些天數的資訊的話(
如能加上次日0時的條件(滿24小時)那更好)，想請教我寫的程式碼(#抽出符合條件的資料
那行)該如何修改才正確呢??謝謝。
ps:篩選出來符合條件只有1979/7/9.10

颱風資訊檔案放在這裡:http://0rz.tw/JI056[程式範例]:
library(csv)
library(dplyr)

#讀取颱風資料
typhoon <- read.csv(""C:\\Users\\TOM\\Desktop\\颱風資料\\typhoon.csv"")

#抽出符合條件的資料
typhoon <- typhoon %>% group_by(Day) %>%
mutate(count=case_when(Day==Hour[c(0,6,12,18)] ~ ""count""))

[環境敘述]:

[關鍵字]:
篩選資料  csv檔  颱風

--","R_Language"
"12","M.1572942453.A.6BB","eco100","問題","搜尋字串的位置回傳",2019-11-05 16:27:31,"140.109.32.9","臺灣","不好意思，再問一個字串的問題

假設我有一組字串 x <- c(""ABBACA"", ""BDGDAD"", ""BFDBG"")

我想要針對x搜尋""A""所在的位置

例如第一個字串A的位置 是發生在該字串的1, 4, 6 位置
第二個字串 A發生在 5 的位置
第三個字串則沒有

請問有什麼方式可以得到這樣的結果？

如果用regexpr 好像只能回傳第一次hit到的位置？

感謝大家！

--","R_Language"
"13","M.1572936345.A.F54","eco100","問題","取代字元比較有效率的寫法",2019-11-05 14:45:43,"140.109.32.9","臺灣","例如我有一個字串 ""AAFDEFGDSGGHFDR""

我現在想要把 ""A"", ""F"", ""R""這三個字母取代成""x""

變成""xxxDExGDSGGHxDx""

想到的就是用for迴圈+gsub函數

除了這個寫法外，有無更有效率的寫法？

感謝！

--","R_Language"
"14","M.1572516776.A.E5D","AndrewShi","問題","ggplot疊圖",2019-10-31 18:12:54,"140.122.212.62","臺灣","[問題類型]:
程式諮詢(我想用R 做某件事情，但是我不知道要怎麼用R 寫出來)

[軟體熟悉度]:
入門(寫過其他程式，只是對語法不熟悉)

[問題敘述]:
   各位大大好，小弟我想利用R畫台灣附近颱風的軌跡線，而上網查到一個利用ggplot畫
軌跡線的程式範例，因此我就拿來用在我的資料上，然後也上網查了要如何用ggplot畫台
灣地圖，但ggmap現在似乎要付費才有辦法使用，所以我找了另一個用ggplot畫台灣地圖
的範例，但因為在此之前都沒用過ggplot畫圖過，所以不知道該如何將颱風的軌跡線疊加
到台灣地圖上，還請教大大們，謝謝。
颱風軌跡線資訊和台灣地圖的檔案皆放在這裡:http://0rz.tw/JI056[程式範例]:
library(csv)
library(ggplot2)
library(dplyr)
library(dplyr)
library(stringr)
library(data.table)
library(maptools)
library(knitr)
library(kableExtr)

#讀取颱風資料
typhoon <- read.csv(""C:\\Users\\TOM\\Desktop\\typhoon.csv"")
View(typhoon)

typhoon <- typhoon %>% group_by(CycloneNo) %>%
mutate(state=case_when(StepNo==1 ~ ""Start"",
                       StepNo==max(StepNo)~ ""End"",
                       T ~ ""NA""))
View(typhoon)

#畫軌跡線
ggplot(typhoon,aes(x=LongE,y=LatN,group=CycloneNo,color=as.factor(CycloneNo)))
+
  geom_path() +
  geom_point(data=typhoon %>%
filter(state!=""NA""),aes(fill=state,shape=state),size=2 ) +
  geom_text(data=typhoon %>%
filter(state==""Start""),aes(label=CycloneNo),color=""black"",vjust=0,hjust=1) +
  guides(colour=F)

#畫台灣地圖
taiwan_shp <-
readShapeSpatial(""C:\\Users\\TOM\\Desktop\\TWN_adm2\\TWN_adm2.shp"")
taiwan_map <- fortify(taiwan_shp)
map <- ggplot(taiwan_map, aes(x = long, y = lat, group=group)) +
  geom_path() +
  coord_map()

[環境敘述]:
畫出來的軌跡線和台灣地圖分別為下面這兩張圖，而要疊在一起我想兩張圖的坐標軸應該
要一致才有辦法疊在一起，但我不知道該如何將兩者的經緯度調成一樣和疊圖的設定。https://imgur.com/yrAJzznhttps://imgur.com/hUTzDvA[關鍵字]:
ggplot 疊圖 軌跡線 地圖

--","R_Language"
"15","M.1571729428.A.289","sodboy","問題","multiple proportion test",2019-10-22 15:30:26,"1.200.216.214","臺灣","大大好
如果我今天要檢定多組間發生率是否有無差異，使用prop.test()是正確的嘛？
自變項是性別加國籍，
依變項是發生率（十萬分之一為單位）
另，如何判斷發生率是否為稀有事件呢，我覺得我發生率好像蠻低，prop.test()較正要
用什麼語法呢？
謝謝！

--","R_Language"
"16","M.1571420148.A.6E5","AmuroRai","問題","用R跑Simulated Method of Moment",2019-10-19 01:35:44,"101.78.113.188","新加坡","[問題類型]:
程式諮詢(我想用R 做某件事情，但是我不知道要怎麼用R 寫出來)

[軟體熟悉度]:
使用者(已經有用R 做過不少作品)

[問題敘述]:
最近寫了個理論模型，然後在coauthor的要求下被趕鴨子上架要跑SMM
（天曉得我們兩個都是做理論的，基本上對計量的東西都......）

查了一些計量講義後大概有點知道code要怎樣寫，但是大部分的人好像都是用Matlab或

Python在跑，目前還沒找到R的範例

目前覺得比較會有問題的地方是跑optimization的部分。因為我們的理論模型產生的動差

條件還蠻複雜的，而且要拿來套用的資料量也有點大，據說得用上simulated annealing

因此想請問我該使用那些package / function來處理這部分？

另外如果要造iterated variance-covariance estimator的話是不是只能自己寫迴圈處理

了？

附上目前找到比較詳細的參考資料（Python）https://notes.quantecon.org/submission/5b3db2ceb9eab00015b89f93--","R_Language"
"17","M.1571305703.A.71D","j2225653","問題","下載氣象局監測站CSV檔",2019-10-17 17:48:21,"114.40.104.71","臺灣","問題:

[問題類型]:

程式諮詢(我想用R 做某件事情，但是我不知道要怎麼用R 寫出來)

[軟體熟悉度]:
新手(沒寫過程式，R 是我的第一次)

[問題敘述]:

想要寫自動化下載氣象局監測資料CSV檔的腳本，但光單純下載一個連結的CSV檔卻跟

單純連結手動點選下載的CSV檔內容不同


[程式範例]:

testurl =
""https://e-service.cwb.gov.tw/HistoryDataQuery/YearDataController.do?command=viewMain&station=466950&stname=%25E5%25BD%25AD%25E4%25BD%25B3
%25E5%25B6%25BC&datepicker=2018""

download.file(url = testurl,destfile = ""C:/DATA/4669502018.csv"",method =
""curl"")



[環境敘述]:
R version 3.6.1 (2019-07-05)
Platform: x86_64-w64-mingw32/x64 (64-bit)
Running under: Windows 10 x64 (build 18362)

Matrix products: default

locale:
[1] LC_COLLATE=Chinese (Traditional)_Taiwan.950
[2] LC_CTYPE=Chinese (Traditional)_Taiwan.950
[3] LC_MONETARY=Chinese (Traditional)_Taiwan.950
[4] LC_NUMERIC=C
[5] LC_TIME=Chinese (Traditional)_Taiwan.950

attached base packages:
[1] stats     graphics  grDevices utils     datasets  methods   base

other attached packages:
[1] RCurl_1.95-4.12 bitops_1.0-6    RSQLite_2.1.2

loaded via a namespace (and not attached):
 [1] bit_1.1-14      compiler_3.6.1  backports_1.1.5 DBI_1.0.0
 [5] tools_3.6.1     memoise_1.1.0   Rcpp_1.0.2      bit64_0.9-7
 [9] vctrs_0.2.0     blob_1.2.0      zeallot_0.1.0   digest_0.6.21
[13] rlang_0.4.0

[關鍵字]:

氣象局

--","R_Language"
"18","M.1570962668.A.FA0","celestialgod",NA,"Re: 重複取樣不放回（不使用sample)",2019-10-13 18:31:06,"119.14.59.166","臺灣","※ 引述《siscom (妹控)》之銘言：: 大家好: 最近在上程式語言的課: 教授請我們跑bootstrap: 但不使用sample的function 而是自己寫function: 條件為: Create a function call my.sample with three arguments:: x:the data to be resampled: n:number of data points to sample: Replacement:resample with replacement or not: Only ‘runif’ ‘order’ and ‘if else’ statements are allowed: 請問這要怎麼撰寫呢？: 想破頭還是想不出來my.sample <- function(x, n, replace = FALSE) {
  if (!replace && length(x) < n)
    stop(""The size must be less than the size of x when replace is TRUE."")
  if (replace) {
    prob <- 0:length(x)/length(x)
    return(x[findInterval(runif(n), prob)])
  } else {
    return(x[order(runif(length(x)))][1:n])
  }
}

findInterval如果不能用就自己用迴圈做一個吧XD


--","R_Language"
"19","M.1570199871.A.68F","siscom",NA,"重複取樣不放回（不使用sample)",2019-10-04 22:37:49,"49.214.236.161","臺灣","大家好

最近在上程式語言的課

教授請我們跑bootstrap

但不使用sample的function 而是自己寫function

條件為
Create a function call my.sample with three arguments:

x:the data to be resampled
n:number of data points to sample
Replacement:resample with replacement or not

Only ‘runif’ ‘order’ and ‘if else’ statements are allowed

請問這要怎麼撰寫呢？

想破頭還是想不出來

--","R_Language"
"20","M.1570085012.A.994","chunyuchang","問題","如何快速將row name改成Group A至J",2019-10-03 14:43:30,"42.77.150.152","臺灣","我是R超級新手，請見諒Orz
假設有個matrix m1
m1 <- matrix(1:50, nrow = 10, byrow = TRUE)
我想要讓row的名字是Group A, Group B...到Group J
除了用rownames(m1) <- c(“Group A”, “Group B”, “Group C”, “Group D”, “
Group E”, “Group F”, “Group G”, “Group H”, “Group I”, “Group J”)以
外
有沒有其他較簡潔快速的方式？
我想說可以用for建立一個loop
但用不出來
請各位解惑！

--","R_Language"
"21","M.1569725107.A.11F","Wush978","問題","Re: 用Python呼叫R, 再包成exe檔？",2019-09-29 10:45:05,"111.240.207.235","臺灣","我建議你要先諮詢軟體授權相關律師。

R 的 license 應該是 GPL v2 / v3、你用的R 套件的 license 可能大部分也是。

這種 license 具有感染性，所以你的程式碼可能會被強迫要 GPL v2 / v3。

結果就是你在散布程式碼的時候，必須要開源。

所以R 是商業不太友善的工具。※ 引述《Edster (Edster)》之銘言：: - 問題：: 能否用Python打包R, 最後做成單獨執行的exe？: [問題類型]:: 經驗諮詢(我想用R 連接某些資料庫，請問大家的經驗): 開發者(有撰寫R 的套件經驗): [問題敘述]:: 我主要是用R，剛自學python沒多久。: 最近有案主要我提供可執行的程式，(本來是幫他們算完就好, 但現在要程式)。: 因為不想直接給原始程式碼，且他們同意做成exe.: 想請問能否用Python做成執行檔, 但實際上裡面全部是在做R的運算？: 因為有引用幾個重要的package是R寫的，所以也不能直接換成python來算。: ps: 請問這樣我引用的package也要每次都呼叫嗎?: 要是他們換電腦不就還要重新裝那隻package?--","R_Language"
"22","M.1569535893.A.084","beatnik","問題","Re: 以時間間隔為條件，抽取資料",2019-09-27 06:11:31,"36.234.37.26","臺灣","感謝原原po的發問以及c大的解答
正好也遇到類似的狀況
但照著做之後,

# 計算時間差，以小時表示
DT[ , diffTime := difftime(time, time[min(k, .N)], units=""hours""), by = ind]

這一段都會跳出error......

Error in `[.data.frame`(DT, , `:=`(diffTime, difftime(time, time[min(k,  :
  unused argument (by = ind)

我是將自身資料擷取出來, 欄位名全都改成跟c大的資料一樣
用c大產生的資料下去跑沒問題
但內容換成我的資料就會錯誤
我的資料格式如下:
ind是""character"", time是""POSIXct"" ""POSIXt"",
照理應該是符合規則, 不知卡在哪?

然後我要保留的條件與原文也有所不同
以原文為例:
個體A  2012/10/11  20:00   實驗資料OOXX
個體A  2012/10/11  23:00   實驗資料OOXX
個體A  2012/10/12  03:00   實驗資料OOXX
個體B  2012/12/11  05:00   實驗資料OOXX
個體B  2012/12/11  11:05   實驗資料OOXX
個體B  2012/12/11  13:00   實驗資料OOXX
個體B  2012/12/11  18:00   實驗資料OOXX
個體B  2012/12/11  20:00   實驗資料OOXX

A個體保留第一、第三筆資料
B個體保留第一、第二、第四筆資料

我則是要保留相近時間內(與上一筆擷取的時間不超過6小時)的最後一筆
其結果會是: A個體保留第3筆, B個體保留第1、5筆

對於B個體而言
05:00
  |----> 間隔大於6小時, 則保留5:00, 下一筆開始為新的區間
11:05
13:00 這幾筆彼此與前一筆間隔未超過6小時, 則視為同個區間
18:00 取最後一筆20:00
20:00

這樣又該如何調整程式呢??
不知是否有人可以提供建議呢? 非常感謝!※ 引述《celestialgod (天)》之銘言：: ※ 引述《anakinyen (我在台北 天氣晴)》之銘言：: : [問題類型]:: : 程式諮詢(我想用R 做某件事情，但是我不知道要怎麼用R 寫出來): : [軟體熟悉度]:: : 新手，只會套用package: : [問題敘述]:: : 我有一批動物研究的資料: : 資料大致長這個樣子，共有12隻個體一萬多筆: : 個體A  2012/10/11  20:00   實驗資料OOXX: : 個體A  2012/10/11  23:00   實驗資料OOXX: : 個體A  2012/10/12  03:00   實驗資料OOXX: : 個體B  2012/12/11  05:00   實驗資料OOXX: : 個體B  2012/12/11  11:05   實驗資料OOXX: : 個體B  2012/12/11  13:00   實驗資料OOXX: : 個體B  2012/12/11  18:00   實驗資料OOXX: : 個體B  2012/12/11  20:00   實驗資料OOXX: : 由於時間間隔過短的話，資料之間可能有相關性: : 因此我現在想要設定6小時的閥值，間隔超過6小時的資料才會保留: : 以上面資料為例: : A個體保留第一、第三筆資料: : B個體保留第一、第二、第四筆資料: : 我的程度是新手，偶爾會拿一些package來套用: : 請教是否有相關套件或現成code可以用在這個案例: : 非常感謝~~: 我用while + data.table做，若用data.frame會複製很多次，效率會不彰: library(data.table): # 產生資料: numObs <- 50: numInd <- 5: DT <- data.table(ind = paste0(""A"", sample(numInd, numObs, TRUE)),:            time = strptime(""2012/12/11"", ""%Y/%m/%d"") +:                     sample(86400, numObs, TRUE),:            obs = rnorm(numObs)): # 排序: setorder(DT, ind, time, obs): # 移除掉時間差小於六小時的: k <- 1: while ( TRUE ) {:   # 計算時間差，以小時表示:   DT[ , diffTime := difftime(time, time[min(k, .N)], units=""hours""), by = ind]:   # 留下自己那一組:   set(DT, which(DT$diffTime == 0), which(names(DT) == ""diffTime""), 1e6):   # 留下時間差超過六小時的:   DT <- DT[abs(diffTime) > 6, ]:   # 下一組:   k <- k + 1:   # 如果k大於全部組的最大觀測值數目就跳離迴圈:   if (k > max(DT[ , .(numObsGroup = .N),  by = ind]$numObsGroup)):     break: }: # 移除diffTime這個變數: DT[ , diffTime := NULL]: 五萬筆觀測值，一千個個體，耗時0.23秒 (平均一個個體50個觀測值): 五十萬筆觀測值，一千個個體，耗時0.39秒 (平均一個個體500個觀測值): 我覺得這個速度應該可以接受: 不過我的區間只有24小時，所以可能都很快就篩選完了: 有人可以試試看更長時間的表現: 有問題或任何人有更好解法，歡迎提供，感謝: Note: 間隔一百天，五十萬筆觀測值，一千個個體，耗時18.33秒--","R_Language"
"23","M.1569515327.A.568","hamster3933","問題","",2019-09-27 00:28:45,"140.112.228.181","臺灣","[問題類型]:程式諮詢

[軟體熟悉度]:新手(沒寫過程式，R 是我的第一次）[問題敘述]:

想要替換向量中的字符元素。

[程式範例]:

x <- c( ""apple"" , ""bee"" , ""apple"", ""cake""）

想要將向量中的字符都換成大寫英文字母開頭:
c(""Apple"", ""Bee"", "" Apple"", ""Cake"")

目前只想到以下這種，但就要一個一個換？
x[x == ""apple""] <- ""Apple""

故想請問版上大大是否有更快捷的方式，非常感謝





--","R_Language"
